postcode,lat,lon
3012,144.863,37.7988
3013,144.883,37.8208
3015,144.88,37.839
3016,144.882,37.8617
3018,144.822,37.8647
3019,144.854,37.7832
3020,144.829,37.7822
3021,144.797,37.7477
3022,144.8,37.7899
3023,144.775,37.7813
3024,144.583,37.8612
3025,144.825,37.8353
3026,144.795,37.8295
3027,144.75,37.8634
3028,144.763,37.8745
3029,144.691,37.8478
3030,144.674,37.939
3031,144.92,37.7929
3032,144.903,37.774
3033,144.854,37.7383
3034,144.864,37.7642
3036,144.822,37.7088
3037,144.748,37.7019
3038,144.794,37.708
3039,144.917,37.7669
3040,144.905,37.7531
3041,144.91,37.7286
3042,144.864,37.7257
3043,144.878,37.7017
3044,144.934,37.7353
3045,144.835,37.677
3046,144.928,37.7095
3047,144.929,37.6804
3048,144.925,37.6539
3049,144.889,37.6715
3050,144.955,37.8005
3051,144.946,37.7982
3052,144.95,37.7887
3053,144.966,37.8017
3054,144.967,37.7871
3055,144.939,37.7654
3056,144.961,37.7682
3057,144.977,37.7698
3058,144.965,37.7391
3059,144.873,37.636
3060,144.966,37.7063
3061,144.955,37.6678
3062,144.953,37.6351
3063,144.855,37.5941
3064,144.937,37.5705
3065,144.978,37.8027
3066,144.987,37.8035
3067,145.002,37.8051
3068,144.991,37.7861
3070,144.998,37.7746
3071,145.005,37.76
3072,145.008,37.7432
3073,145.004,37.7139
3074,145.011,37.6849
3075,145.008,37.6668
3076,145.012,37.6401
3078,145.022,37.7861
3079,145.051,37.7717
3081,145.044,37.7441
3082,145.064,37.6659
3083,145.063,37.704
3084,145.08,37.7508
3085,145.083,37.7233
3086,145.063,37.704
3087,145.084,37.7047
3088,145.107,37.7008
3089,145.155,37.664
3090,145.106,37.6672
3091,145.134,37.6297
3093,145.115,37.7404
3094,145.122,37.722
3095,145.167,37.7159
3096,145.188,37.672
3097,145.246,37.6949
3099,145.203,37.6111
3101,145.029,37.8029
3102,145.05,37.7936
3103,145.08,37.8114
3104,145.084,37.7922
3105,145.085,37.7685
3106,145.142,37.7576
3107,145.111,37.7654
3108,145.121,37.7845
3109,145.182,37.7751
3110,145.171,37.8298
3111,145.19,37.7897
3113,145.202,37.7453
3114,145.211,37.7761
3115,145.264,37.7369
3116,145.314,37.7416
3121,145.007,37.8237
3122,145.029,37.8303
3123,145.049,37.8337
3124,145.072,37.8362
3125,145.104,37.8497
3126,145.072,37.8264
3127,145.099,37.8254
3128,145.123,37.8308
3129,145.121,37.8055
3130,145.15,37.8243
3131,145.171,37.8298
3132,145.197,37.8181
3133,145.191,37.8491
3134,145.232,37.7919
